literature,math,pass
35,78,0
30,44,0
36,73,0
60,86,1
79,75,1
45,56,0
61,97,1
75,47,1
76,87,1
84,44,1
96,38,0
75,31,0
82,76,1
69,98,1
40,76,0
54,89,1
69,53,1
68,47,0
71,93,1
77,48,1
67,43,0
90,66,1
51,49,0
34,44,0
78,69,1
62,70,1
80,45,1
93,39,0
62,50,0
39,65,0
61,73,1
85,57,1
52,63,0
52,69,1
40,71,0
55,52,0
34,99,0
64,81,1
75,42,0
34,75,0
84,56,1
52,47,0
94,66,1
82,41,0
51,46,0
62,52,0
77,70,1
98,87,1
62,97,1
92,89,1
80,74,1
99,61,1
91,43,1
35,60,0
50,50,0
50,60,0
98,69,1
33,96,0
74,70,1
72,78,1
75,86,1
35,47,0
56,39,0
30,50,0
45,66,0
67,41,0
40,98,1
49,52,0
80,92,1
67,61,1
33,43,0
64,78,1
72,96,1
60,73,1
59,76,1
100,72,1
47,88,1
50,76,1
60,43,0
82,43,0
89,70,1
95,46,1
67,67,1
57,60,1
80,91,1
68,86,1
42,79,0
75,90,1
79,97,1
52,61,0
94,77,1
90,88,1
55,36,0
74,85,1
90,45,1
83,48,1
42,87,1
99,69,1
55,65,1
75,90,1
